,experiment,date,hour,device_make,platform_os,browser,yes,no
8050,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
1279,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
1091,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
1521,control,2020-07-03,15,Samsung SM-G935F,6,Samsung Internet,1,0
222,control,2020-07-03,15,Samsung SM-G970F,6,Facebook,0,0
1207,control,2020-07-03,15,iPhone,5,Chrome Mobile iOS,0,0
29,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
230,exposed,2020-07-03,7,Samsung SM-A405FN,6,Samsung Internet,0,0
7955,exposed,2020-07-03,14,POT-LX1,6,Chrome Mobile WebView,0,0
1097,exposed,2020-07-03,8,iPhone,5,Mobile Safari,0,1
1280,control,2020-07-03,15,Samsung SM-G973F,6,Facebook,0,0
1102,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
236,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
35,control,2020-07-03,15,COL-L29,6,Chrome Mobile WebView,0,0
1250,exposed,2020-07-03,3,Generic Smartphone,6,Chrome Mobile,0,0
7954,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
1566,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
219,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
220,control,2020-07-03,15,Generic Smartphone,6,Chrome Mobile,0,0
2742,exposed,2020-07-04,3,Generic Smartphone,6,Chrome Mobile,0,0
4251,exposed,2020-07-04,13,Generic Smartphone,6,Chrome Mobile WebView,0,0
3987,control,2020-07-04,10,Samsung SM-G935F,6,Samsung Internet,0,0
768,control,2020-07-04,15,Samsung SM-A405FN,6,Samsung Internet,0,0
4093,exposed,2020-07-04,14,Generic Smartphone,6,Chrome Mobile,0,0
4386,control,2020-07-04,13,Generic Smartphone,6,Chrome Mobile,0,0
2812,control,2020-07-04,10,LG-$2,6,Chrome Mobile,0,0
4012,control,2020-07-04,9,Generic Smartphone,6,Chrome Mobile,0,1
4096,control,2020-07-04,14,Generic Smartphone,6,Chrome Mobile,0,0
4377,control,2020-07-04,5,LYA-L09,6,Chrome Mobile WebView,0,0
4100,control,2020-07-04,16,Generic Smartphone,6,Chrome Mobile,0,0
4275,control,2020-07-04,0,iPhone,5,Mobile Safari,0,0
2756,exposed,2020-07-04,13,Generic Smartphone,6,Chrome Mobile,0,0
4434,exposed,2020-07-04,5,VFD 720,6,Chrome Mobile WebView,0,0
4435,exposed,2020-07-04,19,Generic Smartphone,6,Chrome Mobile,0,0
2955,exposed,2020-07-04,4,Generic Smartphone,6,Chrome Mobile,0,0
810,exposed,2020-07-04,22,Samsung SM-G800F,6,Chrome Mobile WebView,0,0
2909,exposed,2020-07-04,8,Generic Smartphone,6,Chrome Mobile,0,0
1230,exposed,2020-07-04,6,Generic Smartphone,6,Chrome Mobile,0,0
7595,exposed,2020-07-04,6,Samsung SM-J330FN,6,Samsung Internet,0,0
851,control,2020-07-04,16,Generic Smartphone,6,Chrome Mobile,0,0
4082,exposed,2020-07-04,6,iPhone,5,Chrome Mobile iOS,0,0
853,control,2020-07-04,3,iPhone,5,Mobile Safari,0,0
2939,exposed,2020-07-04,6,Samsung SM-N970F,6,Chrome Mobile WebView,0,0
4260,control,2020-07-04,19,Generic Smartphone,6,Chrome Mobile,0,0
4021,exposed,2020-07-04,0,Generic Smartphone,6,Chrome Mobile,0,0
4033,control,2020-07-04,5,Generic Smartphone,6,Chrome Mobile,0,0
4415,exposed,2020-07-04,10,LG-$2,6,Chrome Mobile,1,0
4006,exposed,2020-07-04,14,Generic Smartphone,6,Chrome Mobile,0,0
4035,control,2020-07-04,0,Samsung SM-G930F,6,Chrome Mobile,0,0
4402,exposed,2020-07-04,9,CLT-L09,6,Chrome Mobile WebView,0,0
804,control,2020-07-04,6,iPhone,5,Mobile Safari,0,0
2935,exposed,2020-07-04,11,Generic Smartphone,6,Chrome Mobile,0,0
4046,exposed,2020-07-04,23,Generic Smartphone,6,Chrome Mobile,0,0
4063,exposed,2020-07-04,1,Generic Smartphone,6,Chrome Mobile,0,0
763,exposed,2020-07-04,10,Generic Smartphone,6,Chrome Mobile,0,1
861,exposed,2020-07-04,12,Generic Smartphone,6,Chrome Mobile,0,0
859,control,2020-07-04,19,Samsung SM-G973F,6,Facebook,0,0
4258,control,2020-07-04,1,Generic Smartphone,6,Chrome Mobile,0,0
2927,exposed,2020-07-04,7,Samsung SM-J330FN,6,Samsung Internet,0,0
1233,control,2020-07-04,4,Samsung SM-G960F,6,Samsung Internet,0,0
7593,control,2020-07-04,8,Generic Smartphone,6,Chrome Mobile,0,0
2949,exposed,2020-07-04,7,Samsung SM-G950F,6,Chrome Mobile WebView,0,0
4277,control,2020-07-04,6,Samsung SM-G960F,6,Facebook,1,0
819,exposed,2020-07-04,15,POT-LX1,6,Chrome Mobile WebView,0,0
2901,exposed,2020-07-04,20,Pixel 4,6,Chrome Mobile WebView,0,0
4321,exposed,2020-07-04,16,Generic Smartphone,6,Chrome Mobile WebView,0,0
2859,exposed,2020-07-04,12,Generic Smartphone,6,Chrome Mobile,0,0
4162,exposed,2020-07-04,1,Samsung SM-G930F,6,Samsung Internet,0,0
4165,exposed,2020-07-04,15,iPhone,5,Mobile Safari,0,0
7612,exposed,2020-07-04,21,Generic Smartphone,6,Chrome Mobile,0,0
4170,exposed,2020-07-04,20,MAR-LX1A,6,Chrome Mobile WebView,0,0
4173,control,2020-07-04,7,Generic Smartphone,6,Chrome Mobile,0,0
4317,exposed,2020-07-04,20,Generic Smartphone,6,Chrome Mobile,0,0
4179,exposed,2020-07-04,7,Generic Smartphone,6,Chrome Mobile WebView,0,0
4222,control,2020-07-04,12,Generic Smartphone,6,Chrome Mobile,0,0
4187,exposed,2020-07-04,18,LG-$2,6,Chrome Mobile,0,0
2799,control,2020-07-04,13,Generic Smartphone,6,Chrome Mobile,0,1
2831,exposed,2020-07-04,23,Generic Smartphone,6,Chrome Mobile,1,0
4188,exposed,2020-07-04,14,Generic Smartphone,6,Chrome Mobile,0,0
815,exposed,2020-07-04,17,iPhone,5,Mobile Safari,0,0
4220,exposed,2020-07-04,8,Generic Smartphone,6,Chrome Mobile,0,0
790,control,2020-07-04,13,Generic Smartphone,6,Chrome Mobile,0,0
1191,control,2020-07-04,8,Generic Smartphone,6,Chrome Mobile,0,0
2837,control,2020-07-04,8,Samsung SM-G930F,6,Facebook,0,0
7767,exposed,2020-07-04,7,Generic Smartphone,6,Facebook,0,0
2841,control,2020-07-04,19,Generic Smartphone,6,Chrome Mobile,0,0
7611,exposed,2020-07-04,18,Generic Smartphone,6,Chrome Mobile,0,0
4200,control,2020-07-04,16,Samsung SM-A505FN,6,Facebook,0,0
2860,control,2020-07-04,19,Samsung SM-G950F,6,Samsung Internet,0,0
4332,exposed,2020-07-04,0,Samsung SM-G920F,6,Chrome Mobile WebView,0,0
3979,control,2020-07-04,2,Generic Smartphone,6,Chrome Mobile,0,0
7765,exposed,2020-07-04,11,Samsung SM-A105FN,6,Samsung Internet,0,0
4117,control,2020-07-04,0,Samsung SM-A920F,6,Chrome Mobile WebView,0,0
4118,exposed,2020-07-04,0,Pixel 3,6,Chrome Mobile WebView,0,0
778,control,2020-07-04,13,Generic Smartphone,6,Chrome Mobile,0,0
4129,exposed,2020-07-04,6,PRA-LX1,6,Chrome Mobile WebView,0,1
4278,exposed,2020-07-04,18,Generic Smartphone,6,Chrome Mobile WebView,0,0
4362,exposed,2020-07-04,14,Generic Smartphone,6,Chrome Mobile,0,1
833,exposed,2020-07-04,9,Generic Smartphone,6,Chrome Mobile,0,1
7760,control,2020-07-04,20,Generic Smartphone,6,Chrome Mobile,0,0
7761,control,2020-07-04,16,Generic Smartphone,6,Chrome Mobile,0,0
1203,control,2020-07-04,8,Generic Smartphone,6,Chrome Mobile,0,0
4145,exposed,2020-07-04,10,Samsung SM-G965F,6,Facebook,1,0
1177,exposed,2020-07-04,11,Generic Smartphone,6,Chrome Mobile,0,0
4360,exposed,2020-07-04,14,Generic Smartphone,6,Chrome Mobile,0,1
4232,exposed,2020-07-04,15,Generic Smartphone,6,Chrome Mobile,0,0
781,exposed,2020-07-04,16,Samsung SM-J610FN,6,Chrome Mobile WebView,1,0
4224,exposed,2020-07-04,9,Generic Smartphone,6,Chrome Mobile,0,0
7601,control,2020-07-04,0,Generic Smartphone,6,Chrome Mobile,0,0
7630,exposed,2020-07-04,21,Generic Smartphone,6,Chrome Mobile,0,0
2866,control,2020-07-04,2,A0001,6,Chrome Mobile WebView,0,0
2805,control,2020-07-04,20,Generic Smartphone,6,Chrome Mobile,0,0
1188,exposed,2020-07-04,5,Samsung SM-A520F,6,Chrome Mobile WebView,0,0
4346,exposed,2020-07-04,2,Generic Smartphone,6,Chrome Mobile WebView,0,0
4271,control,2020-07-04,12,Generic Smartphone,6,Chrome Mobile,0,0
2767,control,2020-07-04,10,Samsung SM-G973F,6,Samsung Internet,0,0
2886,exposed,2020-07-04,17,Generic Smartphone,6,Chrome Mobile,0,0
2896,exposed,2020-07-04,1,HTC M10h,6,Chrome Mobile WebView,0,0
3851,control,2020-07-04,5,Generic Smartphone,6,Chrome Mobile,0,0
873,exposed,2020-07-04,21,Samsung SM-A405FN,6,Facebook,0,0
3579,exposed,2020-07-04,6,Samsung SM-G950F,6,Facebook,0,0
3576,control,2020-07-04,1,Generic Smartphone,6,Chrome Mobile,0,0
3571,control,2020-07-04,6,Generic Smartphone,6,Chrome Mobile,0,1
3561,control,2020-07-04,4,Generic Smartphone,6,Chrome Mobile,0,0
7679,control,2020-07-04,7,Generic Smartphone,6,Chrome Mobile,0,0
3209,control,2020-07-04,16,iPhone,5,Mobile Safari UI/WKWebView,0,0
7952,control,2020-07-04,12,Generic Smartphone,6,Chrome Mobile,0,0
7680,control,2020-07-04,0,Generic Smartphone,6,Chrome Mobile,0,0
4437,control,2020-07-04,5,Generic Smartphone,6,Chrome Mobile,0,0
3222,exposed,2020-07-04,7,Generic Smartphone,6,Chrome Mobile,0,0
7684,exposed,2020-07-04,6,Generic Smartphone,6,Chrome Mobile,0,1
3533,control,2020-07-04,19,Generic Smartphone,6,Chrome Mobile,0,0
3530,control,2020-07-04,13,Generic Smartphone,6,Chrome Mobile,0,0
3234,control,2020-07-04,11,Samsung SM-A105FN,6,Samsung Internet,0,0
3516,control,2020-07-04,11,Generic Smartphone,6,Chrome Mobile,1,0
1009,exposed,2020-07-04,20,Generic Smartphone,6,Chrome Mobile,0,0
3487,control,2020-07-04,21,Generic Smartphone,6,Chrome Mobile,1,0
7727,exposed,2020-07-04,7,Generic Smartphone,6,Chrome Mobile,0,0
3240,control,2020-07-04,3,iPhone,5,Mobile Safari,1,0
3182,control,2020-07-04,22,Generic Smartphone,6,Chrome Mobile,0,0
1107,control,2020-07-04,20,Generic Smartphone,6,Chrome Mobile,0,0
7672,control,2020-07-04,13,Samsung SM-G960F,6,Facebook,0,0
7675,control,2020-07-04,2,Samsung SM-G973F,6,Chrome Mobile WebView,1,0
3666,exposed,2020-07-04,6,ELE-L09,6,Facebook,1,0
3157,control,2020-07-04,7,OnePlus ONEPLUS A5010,6,Facebook,0,0
965,exposed,2020-07-04,2,iPhone,5,Chrome Mobile iOS,0,0
3158,exposed,2020-07-04,19,Generic Smartphone,6,Chrome Mobile,0,1
3163,control,2020-07-04,8,Samsung SM-G950F,6,Facebook,0,0
3630,control,2020-07-04,2,Generic Smartphone,6,Chrome Mobile,0,1
3624,exposed,2020-07-04,13,Samsung SM-N960F,6,Chrome Mobile WebView,0,0
3169,control,2020-07-04,8,Generic Smartphone,6,Chrome Mobile,0,0
3623,exposed,2020-07-04,15,Generic Smartphone,6,Chrome Mobile,0,0
3621,control,2020-07-04,5,Nokia$2$3,6,Chrome Mobile,0,1
3618,control,2020-07-04,18,Generic Smartphone,6,Chrome Mobile,0,0
3608,control,2020-07-04,1,iPhone,5,Mobile Safari,0,0
3597,control,2020-07-04,2,Samsung SM-A320FL,6,Samsung Internet,0,0
3596,control,2020-07-04,0,XiaoMi MI 8 Pro,6,Facebook,1,0
3589,control,2020-07-04,7,Generic Smartphone,6,Chrome Mobile,0,0
981,exposed,2020-07-04,20,Generic Smartphone,6,Chrome Mobile,0,0
3682,exposed,2020-07-04,17,Generic Smartphone,6,Chrome Mobile,0,0
3483,exposed,2020-07-04,5,Samsung SM-G973F,6,Facebook,0,0
3476,control,2020-07-04,19,Generic Smartphone,6,Chrome Mobile,0,0
3396,exposed,2020-07-04,2,Samsung SM-G975F,6,Samsung Internet,0,0
1067,exposed,2020-07-04,8,Nokia$2$3,6,Chrome Mobile WebView,1,0
7702,exposed,2020-07-04,9,Generic Smartphone,6,Chrome Mobile,0,0
1042,exposed,2020-07-04,16,Samsung SM-G900F,6,Chrome Mobile WebView,0,1
3313,exposed,2020-07-04,2,Generic Smartphone,6,Chrome Mobile,0,0
1064,exposed,2020-07-04,14,Samsung SM-G960F,6,Chrome Mobile WebView,1,0
3380,control,2020-07-04,6,Generic Smartphone,6,Chrome Mobile,0,0
3333,control,2020-07-04,15,iPhone,5,Mobile Safari,0,0
3372,control,2020-07-04,7,Samsung SM-G970F,6,Samsung Internet,0,1
3365,exposed,2020-07-04,1,Generic Smartphone,6,Chrome Mobile,0,0
7960,control,2020-07-04,0,Generic Smartphone,6,Chrome Mobile,0,0
3361,exposed,2020-07-04,5,Generic Smartphone,6,Chrome Mobile,0,0
3360,control,2020-07-04,9,Generic Smartphone,6,Chrome Mobile,0,0
3341,exposed,2020-07-04,4,Generic Smartphone,6,Chrome Mobile,0,1
3344,control,2020-07-04,5,Generic Smartphone,6,Chrome Mobile,0,0
3357,exposed,2020-07-04,18,Generic Smartphone,6,Chrome Mobile,0,0
3350,exposed,2020-07-04,11,Generic Smartphone,6,Chrome Mobile,0,0
7962,exposed,2020-07-04,6,Generic Smartphone,6,Chrome Mobile WebView,1,0
3478,exposed,2020-07-04,11,Nokia undefined$2$3,6,Chrome Mobile,1,0
7700,exposed,2020-07-04,7,Generic Smartphone,6,Chrome Mobile,0,0
3418,control,2020-07-04,4,Generic Smartphone,6,Chrome Mobile,0,0
3470,control,2020-07-04,16,Generic Smartphone,6,Chrome Mobile,0,0
3241,exposed,2020-07-04,5,Generic Smartphone,6,Chrome Mobile,0,0
1014,exposed,2020-07-04,16,Generic Smartphone,6,Chrome Mobile,1,0
3466,exposed,2020-07-04,8,Samsung SM-G973F,6,Chrome Mobile WebView,0,0
3259,control,2020-07-04,23,Samsung SM-G965F,6,Chrome Mobile WebView,0,0
7964,control,2020-07-04,10,Generic Smartphone,6,Chrome Mobile,0,0
3454,exposed,2020-07-04,4,Generic Smartphone,6,Chrome Mobile WebView,0,0
1020,control,2020-07-04,21,Generic Smartphone,6,Chrome Mobile,0,0
3264,control,2020-07-04,5,Generic Smartphone,6,Chrome Mobile,0,0
1022,exposed,2020-07-04,4,Samsung SM-G960F,6,Chrome Mobile WebView,0,0
3271,control,2020-07-04,14,Samsung SM-A600FN,6,Samsung Internet,1,0
3437,control,2020-07-04,15,Samsung SM-G973F,6,Facebook,1,0
3273,exposed,2020-07-04,8,HTC One $2,6,Chrome Mobile WebView,0,0
3436,control,2020-07-04,12,Samsung SM-J510FN,6,Facebook,0,0
3435,control,2020-07-04,12,Generic Smartphone,6,Chrome Mobile WebView,0,0
3306,control,2020-07-04,3,Samsung SM-A715F,6,Samsung Internet,0,0
3426,control,2020-07-04,8,Samsung SM-G960F,6,Facebook,1,0
3416,control,2020-07-04,1,LG-$2,6,Chrome Mobile,0,0
3974,exposed,2020-07-04,11,Generic Smartphone,6,Chrome Mobile WebView,0,0
3683,control,2020-07-04,21,Generic Smartphone,6,Chrome Mobile,0,0
3713,exposed,2020-07-04,13,Generic Smartphone,6,Chrome Mobile,0,0
7983,control,2020-07-04,12,Generic Smartphone,6,Chrome Mobile,0,0
7656,exposed,2020-07-04,2,Nokia$2$3,6,Chrome Mobile WebView,0,0
7747,exposed,2020-07-04,14,Generic Smartphone,6,Chrome Mobile,0,0
3876,exposed,2020-07-04,16,Generic Smartphone,6,Chrome Mobile,0,0
3031,exposed,2020-07-04,16,Samsung SM-G960F,6,Chrome Mobile WebView,0,0
3867,exposed,2020-07-04,4,Generic Smartphone,6,Chrome Mobile WebView,0,0
902,exposed,2020-07-04,15,Generic Smartphone,6,Chrome Mobile,0,0
3858,control,2020-07-04,19,Generic Smartphone,6,Chrome Mobile,0,0
3032,control,2020-07-04,7,OnePlus ONEPLUS A3003,6,Chrome Mobile WebView,0,0
3033,exposed,2020-07-04,16,Generic Smartphone,6,Chrome Mobile,0,1
3852,exposed,2020-07-04,3,Nokia undefined$2$3,6,Chrome Mobile,1,0
7659,exposed,2020-07-04,5,Generic Smartphone,6,Chrome Mobile WebView,0,0
3840,exposed,2020-07-04,16,Samsung SM-G960F,6,Samsung Internet,0,0
3042,exposed,2020-07-04,19,Samsung SM-A405FN,6,Samsung Internet,0,0
3047,control,2020-07-04,16,Generic Smartphone,6,Chrome Mobile,0,0
3062,exposed,2020-07-04,9,Generic Smartphone,6,Chrome Mobile WebView,0,0
3067,exposed,2020-07-04,6,Generic Smartphone,6,Chrome Mobile,1,0
3023,exposed,2020-07-04,4,Generic Smartphone,6,Chrome Mobile,0,0
3833,control,2020-07-04,12,Nokia$2$3,6,Facebook,0,1
3895,control,2020-07-04,5,Generic Smartphone,6,Chrome Mobile,0,0
889,exposed,2020-07-04,9,Generic Smartphone,6,Chrome Mobile,0,0
3966,control,2020-07-04,2,C2105,6,Chrome Mobile,0,0
3963,exposed,2020-07-04,7,Generic Smartphone,6,Chrome Mobile,0,0
2970,exposed,2020-07-04,2,Generic Smartphone,6,Chrome Mobile WebView,0,0
2972,control,2020-07-04,5,Samsung SM-A300FU,6,Chrome Mobile WebView,0,0
2980,control,2020-07-04,16,Generic Smartphone,6,Chrome Mobile,0,0
2984,control,2020-07-04,3,Generic Smartphone,6,Chrome Mobile,0,1
7752,exposed,2020-07-04,15,Generic Smartphone,6,Chrome Mobile,0,0
3962,control,2020-07-04,5,Generic Smartphone,6,Chrome Mobile,1,0
3959,control,2020-07-04,9,Generic Smartphone,6,Chrome Mobile,0,0
3948,control,2020-07-04,21,Samsung SM-G981B,6,Chrome Mobile WebView,0,0
3933,exposed,2020-07-04,15,Generic Smartphone,6,Chrome Mobile,0,0
1152,exposed,2020-07-04,16,Generic Smartphone,6,Chrome Mobile,1,0
7648,exposed,2020-07-04,5,Generic Smartphone,6,Chrome Mobile,0,0
3001,exposed,2020-07-04,22,Samsung SM-G970F,6,Chrome Mobile WebView,0,0
7751,exposed,2020-07-04,6,Generic Smartphone,6,Chrome Mobile WebView,0,0
7650,exposed,2020-07-04,13,VCE-L22,6,Facebook,1,0
3908,exposed,2020-07-04,9,XiaoMi Redmi Note 8T,6,Chrome Mobile WebView,0,0
3020,exposed,2020-07-04,15,Vodafone $2,6,Chrome Mobile WebView,0,0
3691,exposed,2020-07-04,21,Generic Smartphone,6,Chrome Mobile,0,0
3077,exposed,2020-07-04,3,Samsung SM-A320FL,6,Chrome Mobile WebView,0,0
3814,control,2020-07-04,18,LG-$2,6,Chrome Mobile,0,0
1123,exposed,2020-07-04,17,Generic Smartphone,6,Chrome Mobile,0,0
3752,exposed,2020-07-04,15,Generic Smartphone,6,Chrome Mobile WebView,0,1
3751,control,2020-07-04,18,XiaoMi Redmi Note 8T,6,Facebook,0,0
933,control,2020-07-04,8,Generic Smartphone,6,Chrome Mobile,0,0
3123,control,2020-07-04,12,Generic Smartphone,6,Chrome Mobile WebView,0,1
3743,exposed,2020-07-04,14,Generic Smartphone,6,Chrome Mobile,0,0
3736,exposed,2020-07-04,21,Generic Smartphone,6,Chrome Mobile,0,0
3734,exposed,2020-07-04,15,Generic Smartphone,6,Chrome Mobile,0,1
7737,control,2020-07-04,11,Samsung SM-G930F,6,Samsung Internet,0,0
3139,control,2020-07-04,11,Samsung SM-G950F,6,Samsung Internet,1,0
1117,control,2020-07-04,15,Samsung SM-G930F,6,Samsung Internet,0,1
3144,exposed,2020-07-04,19,Generic Smartphone,6,Chrome Mobile,0,0
1116,control,2020-07-04,20,iPhone,5,Mobile Safari,0,0
3720,control,2020-07-04,15,Generic Smartphone,6,Chrome Mobile,0,0
3718,exposed,2020-07-04,22,Generic Smartphone,6,Chrome Mobile,0,0
3715,exposed,2020-07-04,11,Samsung SM-A405FN,6,Samsung Internet,0,0
3150,exposed,2020-07-04,15,Generic Smartphone,6,Chrome Mobile,0,0
3755,control,2020-07-04,22,Generic Smartphone,6,Chrome Mobile,0,0
3823,exposed,2020-07-04,16,Samsung SM-A520F,6,Chrome Mobile WebView,0,0
3119,exposed,2020-07-04,17,Generic Smartphone,6,Chrome Mobile,0,1
931,control,2020-07-04,5,Generic Smartphone,6,Chrome Mobile,0,0
1133,control,2020-07-04,3,Samsung SM-J530F,6,Samsung Internet,1,0
917,control,2020-07-04,10,Generic Smartphone,6,Chrome Mobile,0,0
3808,exposed,2020-07-04,8,Generic Smartphone,6,Chrome Mobile WebView,0,1
3093,control,2020-07-04,2,Generic Smartphone,6,Chrome Mobile,0,0
3805,control,2020-07-04,20,Samsung SM-J330FN,6,Samsung Internet,0,1
3801,exposed,2020-07-04,18,OnePlus ONE A2003,6,Chrome Mobile WebView,0,0
7978,exposed,2020-07-04,14,Generic Smartphone,6,Chrome Mobile,0,0
924,exposed,2020-07-04,12,Generic Smartphone,6,Chrome Mobile,0,0
7945,control,2020-07-04,14,Generic Smartphone,6,Chrome Mobile,0,0
3790,exposed,2020-07-04,15,Samsung $2,6,Samsung Internet,0,0
3097,exposed,2020-07-04,14,CLT-L09,6,Facebook,0,1
3788,control,2020-07-04,8,Generic Smartphone,6,Chrome Mobile,0,0
3099,exposed,2020-07-04,10,Generic Smartphone,6,Chrome Mobile,1,0
3774,control,2020-07-04,4,Generic Smartphone,6,Chrome Mobile,0,0
930,exposed,2020-07-04,4,Samsung SM-A405FN,6,Samsung Internet,0,0
1125,exposed,2020-07-04,15,Generic Smartphone,6,Chrome Mobile WebView,0,0
3113,exposed,2020-07-04,9,Generic Smartphone,6,Chrome Mobile,1,0
3118,exposed,2020-07-04,9,Samsung SM-G988B,6,Chrome Mobile WebView,0,0
989,exposed,2020-07-04,15,Generic Smartphone,6,Chrome Mobile,0,0
4419,control,2020-07-04,19,iPhone,5,Mobile Safari,0,0
4444,exposed,2020-07-04,19,Generic Smartphone,6,Chrome Mobile,0,0
6334,control,2020-07-04,13,Samsung SM-A530F,6,Samsung Internet,0,1
6327,control,2020-07-04,14,Generic Smartphone,6,Chrome Mobile,0,0
6326,exposed,2020-07-04,9,C6903,6,Chrome Mobile WebView,0,0
256,exposed,2020-07-04,15,XiaoMi Redmi Note 4,6,Chrome Mobile WebView,0,0
6318,control,2020-07-04,14,iPhone,5,Mobile Safari,0,0
6306,exposed,2020-07-04,0,Generic Smartphone,6,Chrome Mobile WebView,0,0
6301,control,2020-07-04,0,Samsung SM-J320FN,6,Samsung Internet,0,0
6283,exposed,2020-07-04,8,Generic Smartphone,6,Chrome Mobile WebView,0,0
6277,exposed,2020-07-04,22,Generic Smartphone,6,Chrome Mobile WebView,0,0
6263,exposed,2020-07-04,16,Generic Smartphone,6,Chrome Mobile,0,0
6261,control,2020-07-04,1,Generic Smartphone,6,Chrome Mobile,0,0
6248,control,2020-07-04,17,iPhone,5,Mobile Safari,0,0
6230,control,2020-07-04,16,iPhone,5,Mobile Safari,0,0
6221,exposed,2020-07-04,18,Generic Smartphone,6,Chrome Mobile,0,0
7384,control,2020-07-04,12,Generic Smartphone,6,Chrome Mobile,0,0
7385,control,2020-07-04,18,Generic Smartphone,6,Chrome Mobile,0,0
6209,exposed,2020-07-04,8,Samsung SM-J530F,6,Samsung Internet,1,0
288,exposed,2020-07-04,17,Generic Smartphone,6,Chrome Mobile,0,0
6205,control,2020-07-04,6,Generic Smartphone,6,Chrome Mobile,0,0
6194,exposed,2020-07-04,11,Samsung SM-A600FN,6,Chrome Mobile WebView,0,0
6188,exposed,2020-07-04,4,Generic Smartphone,6,Chrome Mobile,0,0
295,exposed,2020-07-04,9,Generic Smartphone,6,Chrome Mobile,0,0
6175,exposed,2020-07-04,4,Generic Smartphone,6,Chrome Mobile WebView,0,0
6341,control,2020-07-04,10,Samsung SM-G935F,6,Chrome Mobile WebView,0,0
7389,control,2020-07-04,3,Generic Smartphone,6,Chrome Mobile,0,0
6345,exposed,2020-07-04,5,Generic Smartphone,6,Chrome Mobile,0,0
6368,control,2020-07-04,9,Generic Smartphone,6,Chrome Mobile,0,0
185,exposed,2020-07-04,22,Generic Smartphone,6,Chrome Mobile,0,0
194,exposed,2020-07-04,8,Samsung SM-A105FN,6,Chrome Mobile WebView,0,0
6532,control,2020-07-04,10,Generic Smartphone,6,Chrome Mobile,0,0
6527,control,2020-07-04,0,iPhone,5,Mobile Safari,0,0
7346,control,2020-07-04,15,Samsung SM-G980F,6,Samsung Internet,0,0
6514,control,2020-07-04,7,Generic Smartphone,6,Chrome Mobile,0,0
6511,control,2020-07-04,15,Generic Smartphone,6,Chrome Mobile,0,0
6503,control,2020-07-04,10,Samsung SM-G925F,6,Chrome Mobile WebView,0,0
6499,exposed,2020-07-04,3,Generic Smartphone,6,Chrome Mobile,0,1
6489,exposed,2020-07-04,11,Generic Smartphone,6,Chrome Mobile WebView,0,0
211,control,2020-07-04,9,Samsung SM-N960F,6,Samsung Internet,0,0
213,exposed,2020-07-04,5,Nexus 5,6,Chrome Mobile WebView,0,0
6466,exposed,2020-07-04,11,Generic Smartphone,6,Chrome Mobile,0,0
6442,exposed,2020-07-04,5,OnePlus ONE A2003,6,Chrome Mobile WebView,0,0
6440,exposed,2020-07-04,3,Samsung SM-G973F,6,Chrome Mobile WebView,0,0
6429,control,2020-07-04,13,Generic Smartphone,6,Chrome Mobile,0,1
226,control,2020-07-04,19,Generic Smartphone,6,Chrome Mobile,1,0
6415,control,2020-07-04,17,Generic Smartphone,6,Chrome Mobile,0,0
6410,control,2020-07-04,11,iPhone,5,Mobile Safari,0,1
6397,control,2020-07-04,2,Samsung SM-G930T,6,Facebook,0,0
6382,control,2020-07-04,16,Generic Smartphone,6,Chrome Mobile,0,0
6379,control,2020-07-04,15,iPhone,5,Mobile Safari,0,0
6373,exposed,2020-07-04,20,Samsung SM-G361F,6,Chrome Mobile WebView,0,0
6355,control,2020-07-04,5,XiaoMi Redmi Note 8T,6,Facebook,0,0
7340,exposed,2020-07-04,6,Generic Smartphone,6,Chrome Mobile,0,0
7393,control,2020-07-04,12,Generic Smartphone,6,Chrome Mobile,0,0
6128,exposed,2020-07-04,14,Generic Smartphone,6,Chrome Mobile,0,0
5996,exposed,2020-07-04,12,Generic Smartphone,6,Chrome Mobile,0,0
5995,exposed,2020-07-04,17,Samsung SM-G975F,6,Samsung Internet,1,0
5984,exposed,2020-07-04,0,Generic Smartphone,6,Chrome Mobile,0,0
5979,exposed,2020-07-04,3,Generic Smartphone,6,Chrome Mobile,0,0
5964,exposed,2020-07-04,16,Generic Smartphone,6,Chrome Mobile,0,0
5963,exposed,2020-07-04,13,Generic Smartphone,6,Chrome Mobile,0,0
7417,control,2020-07-04,3,Samsung SM-G935F,6,Facebook,0,0
5948,exposed,2020-07-04,22,Generic Smartphone,6,Chrome Mobile,0,0
5947,exposed,2020-07-04,21,Samsung SM-G960F,6,Chrome Mobile WebView,0,0
5942,exposed,2020-07-04,11,Samsung SM-G981B,6,Chrome Mobile WebView,0,0
5916,exposed,2020-07-04,6,Samsung $2,6,Chrome Mobile WebView,0,1
7427,exposed,2020-07-04,21,Generic Smartphone,6,Chrome Mobile,0,0
